Modelo,MAE_lotes,MAE,RMSE,R2,segundos
XGBoost profundidad 6,0.9889133946250662,1.0005556795383823,1.5228174719714953,0.9749466884824638,0.8899132000515237
HistGB 31 hojas,0.9970615199574865,1.0074595968573912,1.5467973138252213,0.9741514458958863,0.9271611999720335
HistGB 15 hojas,1.0162522082513046,1.0303433855795519,1.5656951467541576,0.9735159836552096,0.7374581000185572
XGBoost profundidad 4,1.0205733848224792,1.036622817427794,1.5933342083608382,0.9725726911323035,1.9424971000407822
Random Forest,1.0761070070664145,1.0865283170276707,1.7725691601033875,0.9660549998853677,19.96524499997031
Curva típica,1.7674476105329617,1.8229087601446978,3.6090448016975967,0.859280597282355,0.0
Ridge,2.0623863226273245,2.0748544180819803,2.9107405536000557,0.9084672669849536,0.14743559999624267
